timestep,episode,total,progress,velocity,barrier,heading,smoothness,angular,existence,min_laser,distance_to_goal,cmd_vel_x,cmd_vel_y,cmd_vel_z,pose_x,pose_y,pose_yaw,goal_x,goal_y
20,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
21,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
22,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
23,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
24,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
25,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
26,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
27,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
28,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
29,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
30,1,-1.6055977878196854,0.0,-1.605597787791862,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.26185985259632927,0.45874222508581775,0.2550497697654599,1.0000000000092746,1.0,-0.0,1.0,0.0
31,1,-0.0381222452778109,0.0,-0.038122245249987335,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-1.0,0.010892070080699534,0.2806140986885056,1.0000000000092746,1.0,-0.0,1.0,0.0
32,1,1.3376111965954325,0.0,1.337611196623256,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-1.0,-0.38217462759737003,-0.3756082375825934,1.0000000000092746,1.0,-0.0,1.0,0.0
