timestep,episode,total,progress,velocity,barrier,heading,smoothness,angular,existence,min_laser,distance_to_goal,cmd_vel_x,cmd_vel_y,cmd_vel_z,pose_x,pose_y,pose_yaw,goal_x,goal_y
11,1,5.166342009767514,0.0,0.166342009767514,0.0,5.0,0.0,0.0,0.0,3.5,1.0,0.05544733658917134,0.020957117429295402,0.16387094809551564,0.0,0.0,0.0,1.0,0.0
12,1,2.0,0.0,-3.0,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-1.0,0.9904242269093897,1.0,0.0,0.0,0.0,1.0,0.0
13,1,2.0,0.0,-3.0,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-1.0,-1.0,0.8046409935173018,0.0,0.0,0.0,1.0,0.0
14,1,3.175935986739675,0.0,-1.8240640132603254,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.6080213377534418,0.1097057754274734,-0.051706644329331246,0.0,0.0,0.0,1.0,0.0
15,1,5.23812232874386,0.0,0.23812232874386063,0.0,5.0,0.0,0.0,0.0,3.5,1.0,0.07937410958128688,-0.600077140783877,-0.10331764828361681,0.0,0.0,0.0,1.0,0.0
16,1,2.3848849780927064,0.0,-2.6151150219072936,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,0.0,0.0,0.0,1.0,0.0
17,1,2.3848849780927064,0.0,-2.6151150219072936,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,0.0,0.0,0.0,1.0,0.0
18,1,2.3848849780927064,0.0,-2.6151150219072936,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,0.0,0.0,0.0,1.0,0.0
19,1,2.3848849780927064,0.0,-2.6151150219072936,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,0.0,0.0,0.0,1.0,0.0
20,1,2.3848849780927064,0.0,-2.6151150219072936,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,0.0,0.0,0.0,1.0,0.0
21,1,2.3848849780927064,0.0,-2.6151150219072936,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,0.0,0.0,0.0,1.0,0.0
22,1,2.3848849780927064,0.0,-2.6151150219072936,0.0,5.0,0.0,0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,0.0,0.0,0.0,1.0,0.0
